Time elapsed was  or ,1061249,ns or,0.001061249,s
Time elapsed was  or ,5505216,ns or,0.005505216,s
Time elapsed was  or ,5578699,ns or,0.005578699,s
Time elapsed was  or ,743445,ns or,0.000743445,s
Time elapsed was  or ,6795216,ns or,0.006795216,s
Time elapsed was  or ,3962092,ns or,0.003962092,s
Time elapsed was  or ,891546,ns or,0.000891546,s
Time elapsed was  or ,1107874,ns or,0.001107874,s
Time elapsed was  or ,586033,ns or,0.000586033,s
Time elapsed was  or ,714176,ns or,0.000714176,s
Mean,2694554.6,ns or,0.0026945546,s
