0.00,24.50
1.00,25.80
2.00,27.10
3.00,28.40
4.00,29.70
5.00,31.00
6.00,32.30
7.00,33.60
8.00,34.90
9.00,36.20
10.00,37.50
11.00,38.80
12.00,40.10
13.00,41.40
14.00,42.70
15.00,44.00
16.00,45.30
17.00,46.60
18.00,47.90
19.00,49.20
20.00,50.50
21.00,51.80
22.00,53.10
23.00,54.40
24.00,55.70
25.00,57.00
26.00,58.30
27.00,59.60
28.00,60.90
29.00,62.20
30.00,63.50
31.00,64.80
32.00,66.10
33.00,67.40
34.00,68.70
35.00,70.00
36.00,71.30
37.00,72.60
38.00,73.90
39.00,75.20
40.00,76.50
41.00,77.80
42.00,79.10
43.00,80.40
44.00,81.70
45.00,83.00
46.00,84.30
47.00,85.60
48.00,86.90
49.00,88.20
50.00,89.50
51.00,90.80
52.00,92.10
53.00,93.40
54.00,94.70
55.00,96.00
56.00,97.30
57.00,98.60
58.00,99.90
59.00,101.20
60.00,102.50
61.00,103.80
62.00,105.10
63.00,106.40
64.00,107.70
65.00,109.00
66.00,110.30
67.00,111.60
68.00,112.90
69.00,114.20
70.00,115.50
71.00,116.80
72.00,118.10
73.00,119.40
74.00,120.70
75.00,122.00
76.00,123.30
77.00,124.60
78.00,125.90
79.00,127.20
80.00,128.50
81.00,129.80
82.00,131.10
83.00,132.40
84.00,133.70
85.00,135.00
86.00,136.30
87.00,137.60
88.00,138.90
89.00,140.20
90.00,141.50
91.00,142.80
92.00,144.10
93.00,145.40
94.00,146.70
95.00,148.00
96.00,149.30
97.00,150.60
98.00,151.90
99.00,153.20
