0.00,24.24
1.00,25.45
2.00,26.66
3.00,27.87
4.00,29.08
5.00,30.29
6.00,31.50
7.00,32.71
8.00,33.92
9.00,35.13
10.00,36.34
11.00,37.55
12.00,38.76
13.00,39.97
14.00,41.18
15.00,42.39
16.00,43.60
17.00,44.81
18.00,46.02
19.00,47.23
20.00,48.44
21.00,49.65
22.00,50.86
23.00,52.07
24.00,53.28
25.00,54.49
26.00,55.70
27.00,56.91
28.00,58.12
29.00,59.33
30.00,60.54
31.00,61.75
32.00,62.96
33.00,64.17
34.00,65.38
35.00,66.59
36.00,67.80
37.00,69.01
38.00,70.22
39.00,71.43
40.00,72.64
41.00,73.85
42.00,75.06
43.00,76.27
44.00,77.48
45.00,78.69
46.00,79.90
47.00,81.11
48.00,82.32
49.00,83.53
50.00,84.74
51.00,85.95
52.00,87.16
53.00,88.37
54.00,89.58
55.00,90.79
56.00,92.00
57.00,93.21
58.00,94.42
59.00,95.63
60.00,96.84
61.00,98.05
62.00,99.26
63.00,100.47
64.00,101.68
65.00,102.89
66.00,104.10
67.00,105.31
68.00,106.52
69.00,107.73
70.00,108.94
71.00,110.15
72.00,111.36
73.00,112.57
74.00,113.78
75.00,114.99
76.00,116.20
77.00,117.41
78.00,118.62
79.00,119.83
80.00,121.04
81.00,122.25
82.00,123.46
83.00,124.67
84.00,125.88
85.00,127.09
86.00,128.30
87.00,129.51
88.00,130.72
89.00,131.93
90.00,133.14
91.00,134.35
92.00,135.56
93.00,136.77
94.00,137.98
95.00,139.19
96.00,140.40
97.00,141.61
98.00,142.82
99.00,144.03
