Time elapsed was ,590282431870,ns or,590.28243187,n
Time elapsed was ,895716125124,ns or,895.716125124,n
Time elapsed was ,878542315513,ns or,878.542315513,n
Time elapsed was ,786456217216,ns or,786.456217216,n
Time elapsed was ,763907281952,ns or,763.907281952,n
Time elapsed was ,876421973822,ns or,876.421973822,n
Time elapsed was ,864798210267,ns or,864.798210267,n
Time elapsed was ,721983726703,ns or,721.983726703,n
Time elapsed was ,586382165102,ns or,586.382165102,n
Time elapsed was ,689410264927,ns or,689.410264927,n
Mean,765390071249.6,ns or,765.3900712496,n
