Time elapsed was ,280413117,ns or,0.280413117,s
Time elapsed was ,285786219,ns or,0.285786219,s
Time elapsed was ,280018772,ns or,0.280018772,s
Time elapsed was ,387279078,ns or,0.387279078,s
Time elapsed was ,323816453,ns or,0.323816453,s
Time elapsed was ,350336692,ns or,0.350336692,s
Time elapsed was ,327693833,ns or,0.327693833,s
Time elapsed was ,324254417,ns or,0.324254417,s
Time elapsed was ,327702671,ns or,0.327702671,s
Time elapsed was ,363039116,ns or,0.363039116,s
Average mean time,325034036.8,ns or,0.325034037,s
