Time elapsed was ,82,ns or,0.000000082,s
Time elapsed was ,110,ns or,0.000000110,s
Time elapsed was ,61,ns or,0.000000061,s
Time elapsed was ,68,ns or,0.000000068,s
Time elapsed was ,83,ns or,0.000000083,s
Time elapsed was ,81,ns or,0.000000081,s
Time elapsed was ,77,ns or,0.000000077,s
Time elapsed was ,57,ns or,0.000000057,s
Time elapsed was ,67,ns or,0.000000067,s
Time elapsed was ,61,ns or,0.000000061,s
total,747,ns or,0.000000747,s
Mean,74.7,ns or,0.000000075,s
Average Mean,37.35,ns or,37.35,s
